               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.02526,            0.014335,           0.0077474,             0.71616,             0.88558,             0.80789,             0.57603,            0.021588,           0.0074649,           0.0078186,            0.006535,            0.006535,            0.006535
                  37,            0.024199,            0.014184,           0.0073591,             0.74083,             0.86025,             0.81218,             0.57683,            0.021421,            0.007458,           0.0078043,            0.006436,            0.006436,            0.006436
                  38,            0.024544,            0.014451,            0.007949,             0.69005,             0.84728,             0.78259,             0.56805,            0.020472,            0.007353,            0.011802,            0.006337,            0.006337,            0.006337
                  39,            0.024804,            0.014432,           0.0076938,             0.72499,             0.84502,             0.77393,             0.56377,            0.020528,           0.0073835,            0.010727,            0.006238,            0.006238,            0.006238
                  40,            0.023661,            0.013594,           0.0074815,              0.7159,             0.83179,             0.83659,             0.60304,            0.020852,           0.0072665,            0.007774,            0.006139,            0.006139,            0.006139
                  41,            0.023712,            0.014008,           0.0071742,             0.73371,              0.8432,              0.7922,             0.55882,            0.021357,           0.0075196,           0.0080854,             0.00604,             0.00604,             0.00604
                  42,            0.023709,            0.013503,           0.0076476,             0.69846,             0.85322,             0.79682,             0.55251,            0.020647,           0.0076296,           0.0077532,            0.005941,            0.005941,            0.005941
                  43,            0.024184,             0.01444,           0.0061042,             0.73574,             0.85809,             0.78629,             0.55687,            0.020985,           0.0078009,           0.0080718,            0.005842,            0.005842,            0.005842
                  44,            0.024522,             0.01445,           0.0068947,              0.7431,             0.87639,             0.81451,             0.57383,            0.020845,            0.007434,           0.0080874,            0.005743,            0.005743,            0.005743
                  45,            0.023815,            0.014316,             0.00747,             0.75176,             0.87567,             0.80803,             0.58356,            0.020729,           0.0072308,           0.0090329,            0.005644,            0.005644,            0.005644
                  46,            0.023215,            0.013959,           0.0074535,             0.74092,             0.90559,             0.81866,             0.58449,            0.021068,           0.0072977,           0.0060519,            0.005545,            0.005545,            0.005545
                  47,              0.0231,            0.013761,           0.0065214,             0.74294,             0.84965,             0.81393,             0.58454,            0.021658,           0.0075245,           0.0088993,            0.005446,            0.005446,            0.005446
                  48,            0.022622,            0.013565,           0.0064557,             0.74255,             0.87887,             0.79355,             0.56853,            0.020966,           0.0072439,           0.0090896,            0.005347,            0.005347,            0.005347
                  49,            0.022692,             0.01402,           0.0069832,             0.73967,             0.87537,             0.81082,             0.59161,            0.020629,           0.0072786,           0.0068669,            0.005248,            0.005248,            0.005248
                  50,            0.022745,            0.013869,           0.0077005,             0.73346,             0.81831,              0.7953,              0.5735,            0.020591,           0.0071286,           0.0081855,            0.005149,            0.005149,            0.005149
                  51,            0.022875,            0.014071,           0.0066685,             0.76261,             0.88707,              0.8116,             0.59456,            0.020351,           0.0070888,           0.0082192,             0.00505,             0.00505,             0.00505
                  52,            0.022521,            0.013886,           0.0070305,             0.77178,             0.86035,             0.82647,             0.60844,            0.019961,           0.0072601,           0.0075352,            0.004951,            0.004951,            0.004951
                  53,            0.022999,            0.013759,           0.0065581,             0.78818,             0.86504,             0.81735,             0.59822,            0.021411,           0.0073358,            0.007368,            0.004852,            0.004852,            0.004852
                  54,            0.022362,            0.013624,           0.0068398,             0.75372,              0.8437,             0.81814,             0.58939,             0.02057,           0.0075512,           0.0079484,            0.004753,            0.004753,            0.004753
                  55,            0.022038,            0.013641,           0.0062672,             0.79019,             0.81512,              0.8233,             0.58192,            0.021088,           0.0074681,           0.0091444,            0.004654,            0.004654,            0.004654
                  56,            0.021842,            0.013064,           0.0061628,             0.77159,             0.83257,             0.82531,              0.6006,            0.020434,           0.0074192,           0.0079126,            0.004555,            0.004555,            0.004555
                  57,            0.022202,            0.013807,            0.006918,             0.76962,             0.87705,             0.81079,             0.59226,            0.019999,           0.0075817,           0.0083262,            0.004456,            0.004456,            0.004456
                  58,            0.021556,            0.014042,            0.007173,             0.76573,             0.85948,             0.81383,             0.58748,             0.02008,           0.0074982,           0.0082409,            0.004357,            0.004357,            0.004357
                  59,            0.021564,            0.013728,           0.0057168,             0.71963,             0.86141,             0.81482,             0.58603,            0.020039,           0.0072565,           0.0090048,            0.004258,            0.004258,            0.004258
                  60,             0.02114,            0.013497,             0.00577,             0.76862,             0.85329,             0.81437,             0.60404,            0.020249,            0.007261,           0.0095145,            0.004159,            0.004159,            0.004159
                  61,            0.021395,            0.013316,           0.0062754,             0.78956,             0.85322,             0.84164,              0.6183,            0.020666,           0.0071668,           0.0084838,             0.00406,             0.00406,             0.00406
                  62,            0.021142,            0.013508,           0.0058679,             0.74159,             0.89526,             0.83025,             0.60128,            0.020112,           0.0072922,            0.010684,            0.003961,            0.003961,            0.003961
                  63,            0.021836,            0.013768,           0.0061802,             0.76127,             0.87842,             0.82345,             0.60862,            0.020839,            0.007411,            0.007786,            0.003862,            0.003862,            0.003862
                  64,            0.021495,            0.013705,           0.0058317,             0.72751,             0.86925,             0.80744,             0.59169,            0.019879,           0.0075034,           0.0097184,            0.003763,            0.003763,            0.003763
                  65,            0.021093,             0.01328,            0.005469,             0.75222,             0.84716,             0.79623,             0.58654,            0.020304,           0.0074499,            0.010492,            0.003664,            0.003664,            0.003664
                  66,             0.02125,            0.013148,           0.0064859,             0.72777,             0.84183,             0.80046,             0.57413,            0.020543,           0.0076434,           0.0093316,            0.003565,            0.003565,            0.003565
                  67,            0.021347,            0.013597,           0.0056191,             0.77759,               0.843,              0.8045,             0.58331,             0.02058,           0.0076157,            0.009952,            0.003466,            0.003466,            0.003466
                  68,            0.020514,            0.013253,           0.0054054,             0.76227,              0.8347,             0.79302,             0.56326,            0.020618,           0.0078572,           0.0097286,            0.003367,            0.003367,            0.003367
                  69,            0.020584,             0.01338,           0.0055934,             0.72573,             0.84792,             0.78118,             0.55373,            0.020071,           0.0076868,            0.011036,            0.003268,            0.003268,            0.003268
                  70,            0.020014,              0.0132,           0.0060561,             0.75594,             0.87781,             0.81055,             0.59188,             0.01973,           0.0074072,           0.0098931,            0.003169,            0.003169,            0.003169
                  71,            0.020917,            0.013217,           0.0054249,             0.78422,             0.86941,             0.83133,             0.59999,            0.020473,           0.0074896,           0.0093155,             0.00307,             0.00307,             0.00307
                  72,            0.020161,            0.012675,           0.0053309,             0.75559,             0.86112,             0.81275,             0.57976,            0.021227,           0.0074539,            0.010564,            0.002971,            0.002971,            0.002971
                  73,            0.020444,            0.012525,           0.0053317,             0.76852,             0.88707,             0.82288,             0.59482,              0.0202,           0.0073816,           0.0084785,            0.002872,            0.002872,            0.002872
                  74,            0.020408,            0.013425,            0.005419,             0.77955,             0.86007,             0.82561,             0.59593,            0.020563,           0.0074723,           0.0081985,            0.002773,            0.002773,            0.002773
                  75,            0.020014,            0.012897,           0.0052803,             0.75748,             0.86961,             0.81572,             0.59595,            0.020899,           0.0077429,           0.0088585,            0.002674,            0.002674,            0.002674
                  76,            0.019877,             0.01295,           0.0044611,             0.76088,             0.84396,             0.81268,             0.58824,            0.020347,           0.0073983,            0.010811,            0.002575,            0.002575,            0.002575
                  77,            0.020728,            0.013424,           0.0055314,             0.72361,               0.886,             0.80323,             0.58189,             0.02011,           0.0073992,            0.010333,            0.002476,            0.002476,            0.002476
                  78,            0.019497,            0.012937,           0.0053384,             0.72139,             0.87675,             0.80213,             0.58032,            0.019853,           0.0073128,            0.010384,            0.002377,            0.002377,            0.002377
                  79,            0.019439,            0.012403,           0.0048453,             0.74204,             0.84348,             0.80674,             0.58086,            0.019931,           0.0076673,            0.010164,            0.002278,            0.002278,            0.002278
                  80,              0.0198,             0.01239,           0.0055187,             0.75619,             0.87675,              0.8026,              0.5785,            0.019738,           0.0074521,             0.01112,            0.002179,            0.002179,            0.002179
                  81,             0.02001,             0.01305,           0.0049327,             0.76302,             0.86539,             0.81436,             0.60157,            0.019603,           0.0073167,           0.0097814,             0.00208,             0.00208,             0.00208
                  82,            0.019453,            0.012376,           0.0044568,             0.72678,             0.87781,             0.80716,             0.59565,            0.019256,           0.0071913,           0.0093234,            0.001981,            0.001981,            0.001981
                  83,            0.019981,            0.013339,           0.0065869,             0.75705,             0.85608,             0.81181,             0.59897,            0.019411,           0.0072207,            0.010327,            0.001882,            0.001882,            0.001882
                  84,            0.019484,            0.012429,           0.0062692,             0.75198,             0.89073,             0.80905,             0.59086,            0.019366,           0.0072401,            0.009377,            0.001783,            0.001783,            0.001783
                  85,             0.01983,            0.013328,           0.0044615,              0.7452,             0.85929,             0.80715,             0.59312,            0.020296,           0.0074973,           0.0096705,            0.001684,            0.001684,            0.001684
                  86,            0.019815,            0.012628,           0.0054808,             0.74473,             0.87287,             0.80779,             0.59419,            0.019843,           0.0074783,           0.0090903,            0.001585,            0.001585,            0.001585
                  87,            0.019221,            0.012809,           0.0049155,             0.79604,             0.84396,             0.82132,             0.60196,            0.019585,           0.0073812,           0.0090106,            0.001486,            0.001486,            0.001486
                  88,             0.01872,             0.01203,           0.0046791,             0.76388,             0.81785,             0.81617,             0.58624,            0.019891,           0.0072915,           0.0097296,            0.001387,            0.001387,            0.001387
                  89,            0.019226,            0.012254,            0.005735,             0.72859,             0.86037,             0.81263,             0.59113,            0.019205,           0.0073675,            0.010544,            0.001288,            0.001288,            0.001288
                  90,            0.018852,            0.012224,           0.0047086,             0.73426,             0.87887,             0.81219,             0.59501,             0.01928,           0.0074249,           0.0095236,            0.001189,            0.001189,            0.001189
                  91,            0.019215,            0.012801,           0.0054161,             0.76183,             0.87887,             0.82388,             0.59777,            0.019318,           0.0073488,           0.0089096,             0.00109,             0.00109,             0.00109
                  92,            0.019115,            0.012472,           0.0052655,             0.74531,               0.886,              0.8114,             0.59112,            0.019357,           0.0074227,            0.010171,            0.000991,            0.000991,            0.000991
                  93,            0.018233,            0.012649,           0.0050317,             0.77201,             0.87026,             0.81944,             0.59268,            0.019358,            0.007388,           0.0096713,            0.000892,            0.000892,            0.000892
                  94,            0.018756,            0.012106,           0.0049377,             0.78583,             0.87781,             0.83066,             0.60429,            0.019477,             0.00735,           0.0090721,            0.000793,            0.000793,            0.000793
                  95,            0.018753,            0.012554,            0.005286,             0.75012,             0.87781,             0.82622,             0.59705,            0.019441,           0.0073173,           0.0099201,            0.000694,            0.000694,            0.000694
                  96,            0.018849,            0.012829,           0.0049306,             0.77603,             0.82888,             0.82711,             0.60088,            0.019551,           0.0074012,            0.009678,            0.000595,            0.000595,            0.000595
                  97,            0.018463,            0.012396,           0.0042195,             0.77658,             0.86467,             0.82719,             0.60189,            0.019299,           0.0073607,            0.009552,            0.000496,            0.000496,            0.000496
                  98,            0.018325,            0.012045,           0.0052239,             0.74374,             0.88085,             0.81024,             0.58598,            0.019434,           0.0073187,            0.010406,            0.000397,            0.000397,            0.000397
                  99,             0.01919,            0.012496,           0.0050732,             0.74372,             0.86855,             0.81368,             0.59183,            0.019572,           0.0073463,            0.010025,            0.000298,            0.000298,            0.000298
