               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.088457,            0.029895,            0.026508,             0.52062,             0.55704,             0.53023,              0.2196,            0.059837,            0.012518,            0.019521,              0.0706,           0.0032667,           0.0032667
                   1,            0.058282,            0.022103,            0.020738,             0.46976,             0.61267,             0.50109,             0.21484,             0.05591,           0.0083603,            0.013326,            0.039293,           0.0052932,           0.0052932
                   2,             0.05208,            0.019575,             0.01497,             0.54922,             0.59296,             0.59706,             0.36051,            0.046233,           0.0077797,           0.0089672,           0.0066664,           0.0059997,           0.0059997
                   3,            0.044699,            0.018103,            0.014354,             0.63585,             0.77217,             0.76745,             0.44448,              0.0385,           0.0073974,             0.00832,             0.00406,             0.00406,             0.00406
                   4,            0.041953,            0.018279,            0.012655,             0.67769,             0.81618,             0.80798,             0.46659,            0.038593,           0.0071592,           0.0069835,             0.00406,             0.00406,             0.00406
