               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.088457,            0.029895,            0.026508,                   0,                   0,                   0,                   0,                   0,            0.010605,                   0,              0.0706,           0.0032667,           0.0032667
                   1,            0.058282,            0.022103,            0.020738,                   0,                   0,                   0,                   0,                   0,           0.0072379,                   0,            0.039293,           0.0052932,           0.0052932
                   2,             0.05208,            0.019575,             0.01497,                   0,                   0,                   0,                   0,                   0,           0.0079961,                   0,           0.0066664,           0.0059997,           0.0059997
                   3,            0.044699,            0.018103,            0.014354,                   0,                   0,                   0,                   0,                   0,           0.0077226,                   0,             0.00406,             0.00406,             0.00406
                   4,            0.041953,            0.018279,            0.012655,                   0,                   0,                   0,                   0,                   0,           0.0093117,                   0,             0.00406,             0.00406,             0.00406
