               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10059,            0.029307,            0.027555,           0.0014376,             0.27598,           0.0014407,           0.0004158,            0.074629,            0.013549,            0.022217,            0.070423,           0.0032864,           0.0032864
                   1,            0.090065,            0.030268,             0.02643,           0.0017619,             0.35095,           0.0039247,          0.00099288,            0.069371,            0.014003,            0.021644,            0.039112,            0.005309,            0.005309
                   2,            0.086895,            0.029864,            0.025628,           0.0019368,             0.38799,           0.0075255,           0.0016527,             0.06717,            0.013746,            0.021013,           0.0064811,           0.0060116,           0.0060116
                   3,            0.084058,            0.030423,            0.025306,             0.56176,             0.15556,            0.053092,            0.011775,            0.062823,             0.01438,            0.019852,             0.00406,             0.00406,             0.00406
                   4,            0.081462,            0.029429,            0.024436,             0.12424,             0.27407,             0.15723,             0.04054,             0.05717,            0.014233,            0.022065,             0.00406,             0.00406,             0.00406
